,title,label,processed_title
20,영남대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,영남대학교 국내 대학 학점 교류 수학 안내
21, 제  대 총장 초빙 공고,0,총장 초빙 공고
22,    년  월 졸업 신청 안내 notices for february      graduation application ,0,졸업 신청 안내 notice february graduation application
23,      학기 점심나눔 신청 안내,0,점심 신청 안내
24,      학기 의료비 학생건강공제회 접수마감 안내,0,의료비 학생 건강 공제 안내
25,      학기 학생건강공제회 가입 및 이용안내 요약 ,0,학생 건강 공제 가입 이용 안내 요약
26,     교육부 사립대학 종합감사 관련 개인정보 제 자 제공사항 알림,0,교육부 사립대학 종합 감사 관련 개인정보 제공 사항
27,졸업앨범 미촬영자 앨범비 환불신청 안내 캠 학부생 ,0,졸업앨범 미 촬영 앨범 비 환불 신청 안내 학부생
28, 총장 선임 절차 상 금지사항 및 위반 신고 안내,0,총장 선임 절차 상 금지 사항 위반 신고 안내
29,    년도  학기 국내대학 교환학생 타대생  학사안내 만료,0,국내 대학 교환 학생 타대생 학사 안내
30,    학년도  학기 졸업예정자 복수전공 합격자 발표,0,졸업 예정자 복수 전공 합격자 발표
31,    학년도  학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내,0,선택 교양 일몰 교과목 수강 지정 목록 신청 안내
32, 시설처  냉방중지 안내  시설처,0,시설 처 냉방 중지 안내 시설 처
33,    년  월 졸업신청 안내  학사학위수료자 대상 ,0,졸업 신청 안내 학사 학위 수료 대상
34,학생 상해보험 제도 안내 ,0,학생 상해보험 제도 안내
35,    년  월 학위수여식 안내,0,학위 수여식 안내
36,피트니스센터    학기 및  월 회원등록 안내 만료,0,피트니스 센터 회원 등록 안내
37,    년  월 학위수여식 셔틀 단축 안내,0,학위 수여식 셔틀 단축 안내
38,한남대학교     학년도  학기 국내대학 학점 교류 수학 안내,0,한남대학교 국내 대학 학점 교류 수학 안내
39,    학년도  학기 학부 수강인원 미달 최종폐강 교과목 안내,0,학부 수 강인원 미달 최종 폐강 교과목 안내
40,      학기 졸업앨범 추가 촬영 일정 및 앨범비 납부 안내,0,졸업앨범 추가 촬영 일정 앨범 비 납부 안내
41,    년  월 조기졸업 신청 안내 early graduation application period for      february graduation  ,0,조기 졸업 신청 안내 early graduation application period february graduation
42,정신과 인권  교과목 안내,0,정신 인권 교과목 안내
43, 총장 후보 검증 안내,0,총장 후보 검증 안내
44,    학년도  학기 캠퍼스 셔틀버스 운행시간표,0,캠퍼스 셔틀버스 운행 시간표
45,교내 정보시스템 및 네트워크 일시 중지 안내,0,교내 정보 시스템 네트워크 일시 중지 안내
46,    학년도  학기 수강인원 미달에 따른  차 폐강 미실시 안내 만료,0,수 강인원 미달 차 폐강 미 실시 안내
47,       국제캠퍼스  장애인 셔틀버스 운행시간표,0,국제 캠퍼스 장애인 셔틀버스 운행 시간표
48,     ihei workstation 추가모집 ,0,ihei workstation 추가 모집
49,      학기 분할납부   월 등록일정 안내 만료,0,분할 납부 등록 일정 안내
50, ydec         adobe cc id 신청 안내,0,ydec adobe cc id 신청 안내
51,    학년도 겨울 계절제 수업 안내  학부  만료,0,겨울 계절제 수업 안내 학부
52,정신과 인권  교과목 추가 안내,0,정신 인권 교과목 추가 안내
53,    학년도  학기 학부 수강과목 철회 안내 만료,0,학부 수강 과목 철회 안내
54,      학기 해외파견프로그램 교환학생  설명회 및 전형 일정 안내 만료,1,해외 파견 프로그램 교환 학생 설명회 전형 일정 안내
55,      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 차 납부 tuition installment payment guideline
56,    학년도 겨울 계절제 수강희망 교과목 수요조사 안내 만료,0,겨울 계절제 수강 희망 교과목 수요 조사 안내
57,교직과정 이수예정자 응급처치 및 심폐소생술 교육      ,0,교직과정 이수 예정자 응급처치 심폐소생술 교육
58,      차 실험실 환경안전의무교육 실시안내,0,차 실험실 환경 안전 의무 교육 실시 안내
59,    학년도  학기 중간고사 개방 강의실 안내,0,중간고사 개방 강의실 안내
60,    학년도 전기 국제학대학원 입학설명회 안내,0,전기 국제 학대 학원 입학 설명회 안내
61,    학년도  학기 재입학 일반전형 안내 re admission application guidelines   general round for       st semester ,0,재입학 일반 전형 안내 re admission application guideline general round semester
62,    년  학기 예비군훈련 안내,0,예비군 훈련 안내
63,    년  월 졸업신청 확인 및 변경 안내 changing application status for february      graduation ,0,졸업 신청 확인 변경 안내 change application status february graduation
64,    학년도 현장 교사 초빙 워크샵 ii,0,현장 교사 초빙 워크샵 ii
65,    학년  학기 국제캠퍼스 교양기초  대학교양  전공 중간시험 시간표,0,국제 캠퍼스 교양 기초 대학 교양 전공 중간시험 시간표
66,    학년도  학기 대학별 중간고사 시간표 만료,0,대학 중간고사 시간표
67,    학년도  학기 캠퍼스 교양기초  대학교양 중간시험 시간표,0,캠퍼스 교양 기초 대학 교양 중간시험 시간표
68,서울대학교     학년도 겨울학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 겨울 국내 대학 학점 교류 수학 안내
69,    학년도  학기 캠퍼스내 소속변경 전형 안내 ,0,캠퍼스 내 소속 변경 전형 안내
70,    학년도  학기 캠퍼스 고양기초  대학교양 중간 시험시간표,0,캠퍼스 고양 기초 대학 교양 중간 시험 시간표
71,    학년도 캠퍼스 대학교양 중간시험 시간표,0,캠퍼스 대학 교양 중간시험 시간표
72,    학년도  학기 캠퍼스 대학교양  교양기초 중간 시험시간표,0,캠퍼스 대학 교양 교양 기초 중간 시험 시간표
73,계명대학교     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 겨울 계절 국내 대학 학점 교류 수학 안내
74,중앙대학교      학년도 겨울 계절학기 수학안내 만료 공통,0,중앙대학교 겨울 계절 수학 안내
75,      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 차 납부 tuition installment payment guideline
76,    학년도  간호대학 학사편입 설명회,0,간호 대학 학사 편입 설명회
77,    학년도 동절기 난방시행계획 안내,0,절기 난방 시행 계획 안내
78,고려대학교      년도 겨울학기 국내교환 학점교류 수학안내 만료,0,고려대학교 겨울 국내 교환 학점 교류 수학 안내
79,한국예술종합학교      학년도  겨울학기 국내대학 수학안내 만료,0,한국예술종합학교 겨울 국내 대학 수학 안내
80,      학기 학생건강공제회   차  추가가입 및 이용안내 요약 ,0,학생 건강 공제 차 추가 가입 이용 안내 요약
81,      학년도 겨울 계절학기 국내대학 학점교류 수학안내 만료,0,겨울 계절 국내 대학 학점 교류 수학 안내
82,      학년도  겨울 계절학기 국내대학 학점 교류 수학 안내 만료,0,겨울 계절 국내 대학 학점 교류 수학 안내
83,영남대학교     학년도 겨울 계절학기 국내대학 학점 교류 수학 안내 만료 공통,0,영남대학교 겨울 계절 국내 대학 학점 교류 수학 안내
84,    학년도  학기 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,학부 강의 정보 공유 설문 실시 안내
85,    학년도  학기 캠퍼스내 소속변경 면접 대상자 확인,0,캠퍼스 내 소속 변경 면접 대상자 확인
86,울산과학기술원     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 겨울 계절 국내 대학 학점 교류 수학 안내
87,    학년도  학기 재입학 특별전형 안내 re admission application guidelines   special round for       st semester ,0,재입학 특별 전형 안내 re admission application guideline special round semester
88,한국외국어대학교      학년도 겨울 계절학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 겨울 계절 국내 교환 학점 교류 수학 안내
89,울산대학교      학년도 겨울 계절학기 국내대학 학점교류  수학안내 만료 ,0,울산대학교 겨울 계절 국내 대학 학점 교류 수학 안내
90,제  기 한국어 교원양성과정 모집 안내,0,기 한국어 교원 양성 과정 모집 안내
91,    학년도 교직과정 이수예정자 추가 선발,0,교직과정 이수 예정자 추가 선발
92,한국과학기술원     학년도 겨울 계절학기 국내교환 학점교류 수학 안내 만료,0,한국 과학기술원 겨울 계절 국내 교환 학점 교류 수학 안내
93,대학교      학년도  겨울 계절학기 국내교환 학점교류 수학안내 만료,0,대학교 겨울 계절 국내 교환 학점 교류 수학 안내
94,    학년도 겨울 계절제수업 폐강 과목 안내  차 ,0,겨울 계절제 수업 폐강 과목 안내 차
95,    학년도 캠퍼스간 소속변경 전형 요강,0,캠퍼스 간 소속 변경 전형 요강
96, 구 웹메일 서비스 종료 안내 공통 학술정보원,0,구 웹 메일 서비스 안내 학술 정보원
97,    년  월 졸업신청 최종 변경 안내 last application period for february      graduation ,0,졸업 신청 최종 변경 안내 last application period february graduation
98,    년도 겨울 계절제수업 국내대학 교환학생 타대생  학사안내 만료,0,겨울 계절제 수업 국내 대학 교환 학생 타대생 학사 안내
99,성신여자대학교      학년도 겨울 계절학기 학점교류 수학안내 만료,0,성신여자대학교 겨울 계절 학점 교류 수학 안내
100,      학기 전공신청 및 전공진입 확인 기간 안내,0,전공 신청 전공 진입 확인 기간 안내
102,    년  월 교원자격증 발급 신청                  ,0,교원 자격증 발급 신청
103,    학년도 겨울 계절제수업 등록 안내 만료,0,겨울 계절제 수업 등록 안내
104,한남대학교     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,한남대학교 겨울 계절 국내 대학 학점 교류 수학 안내
105,    학년도  학기 기말고사 개방강의실 안내,0,기말고사 개방 강의실 안내
106,    학년도  학기 재입학 일반전형 합격자 발표,0,재입학 일반 전형 합격자 발표
107,건물 적정 난방온도 준수 안내 ,0,건물 적정 난방 온도 준수 안내
108,    학년도  학기 캠퍼스내 복수전공 신청 안내,0,캠퍼스 내 복수 전공 신청 안내
109,    학년도  학기 졸업예정자 복수전공 전형 안내,0,졸업 예정자 복수 전공 전형 안내
110,    학년도 겨울 계절제수업 최종 폐강 과목 안내 만료,0,겨울 계절제 수업 최종 폐강 과목 안내
111,    학년도  학기 대학별 기말고사 시간표 만료,0,대학 기말고사 시간표
112,동절기 한파에 따른 동파예방 협조의뢰,0,절기 한파 파 예방 협조 의뢰
113,전주대학교     학년도 겨울 계절학기 국내대학 학점 교류 수학 안내 만료,0,전주대학교 겨울 계절 국내 대학 학점 교류 수학 안내
114,크리스마스 트리 점등식,0,크리스마스 트리 점 등식
115,    학년  학기 국제캠퍼스 교양기초  대학교양  전공 기말시험 시간표,0,국제 캠퍼스 교양 기초 대학 교양 전공 기말 시험 시간표
116,    학년도 겨울 계절제수업 추가 등록안내 만료,0,겨울 계절제 수업 추가 등록 안내
117,     재학생 만족도 설문 조사,0,재학생 만족 설문 조사
118, 일정변경        학부 일반대학원 등록금 분할납부 신청안내 tuition installment plan for undergrad   general grad  만료,0,일정 변경 학부 일반 대학원 등록금 분할 납부 신청 안내 tuition installment plan undergrad general grad
119,    학년도  학기 캠퍼스 교양기초 대학교양 기말시험 시간표,0,캠퍼스 교양 기초 대학 교양 기말 시험 시간표
120,    학년도  학기 학부 성적 확인 안내 만료,0,학부 성적 확인 안내
121,    학년도  학기 캠퍼스 생활관 입사 신청,0,캠퍼스 생활관 입사 신청
122,    학년도  학기 학부 휴학 및 복학 신청 안내 일정 변경 ,0,학부 휴학 복학 신청 안내 일정 변경
123,포항공과대학교     학년도  학기 국내교환대학 학점교류 수학 안내,0,포항공과대학교 국내 교환 대학 학점 교류 수학 안내
124,실험장비 급수용 호스에 대한 누수 방지대책 안내,0,실험 장비 급수 호스 누수 방지 대책 안내
125,    학년도  학기 캠퍼스내 연계전공 신청 안내,0,캠퍼스 내 연계 전공 신청 안내
126, 일정변경        전문 특수대학원 등록금 분할납부 신청안내 tuition installment plan for special   professional grad  만료,0,일정 변경 전문 특수 대학원 등록금 분할 납부 신청 안내 tuition installment plan special professional grad
127,    년 국가직 지역인재  급 수습직원 선발시험 대상자 추천 접수,0,국가직 지역 인재 급 수습 직원 선발 시험 대상자 추천
128,    학년도 연말정산용 교육비납입증명서 발급 안내 만료,0,연말정산 교육비 납입 증명서 발급 안내
129,      학기 일반대학원 신입생 등록안내 만료,0,일반 대학원 신입생 등록 안내
130,      학기 전문 특수대학원 신입생 등록안내 만료,0,전문 특수 대학원 신입생 등록 안내
131,    학년도  학기 재입학 특별전형 합격자 발표 만료,0,재입학 특별 전형 합격자 발표
132,서울대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 국내 대학 학점 교류 수학 안내
133,     겨울방학 기간 캠퍼스 셔틀버스 운행시간,0,겨울 방학 기간 캠퍼스 셔틀버스 운행 시간
134,    학년도 겨울 계절제 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,겨울 계절제 학부 강의 정보 공유 설문 실시 안내
135,     겨울방학 기간 국제캠퍼스 셔틀버스 운행시간표,0,겨울 방학 기간 국제 캠퍼스 셔틀버스 운행 시간표
136,      학기 전공신청 및 전공진입 확인 기간 안내 글로벌인재대학 ,0,전공 신청 전공 진입 확인 기간 안내 글로벌 인재 대학
137,울산과학기술원     학년도  학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 국내 대학 학점 교류 수학 안내
138,    학년도 캠퍼스간 소속변경 합격자 확인,0,캠퍼스 간 소속 변경 합격자 확인
139,영남대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,영남대학교 국내 대학 학점 교류 수학 안내
140,계명대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 국내 대학 학점 교류 수학 안내
141,중앙대학교     학년도  학기 국내대학 학점교류 수학 안내 만료 ,0,중앙대학교 국내 대학 학점 교류 수학 안내
142,고려대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,고려대학교 국내 교환 학점 교류 수학 안내
143,한국예술종합학교     학년도  학기 국내대학 수학안내 만료,0,한국예술종합학교 국내 대학 수학 안내
144,     대 학부생 학습 생활 설문에 참여하고 에어팟 받으세요 ,0,학부생 학습 생활 설문 참여 에어팟
145,윤동주기념관 개관 봉헌식,0,윤동주 기념관 개관 봉헌식
146,울산대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,울산대학교 국내 대학 학점 교류 수학 안내
148,한국외국어대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 국내 교환 학점 교류 수학 안내
149,김용학 총장 이임예배,0,김용학 총장 임 예배
150,     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내
151,     학년도  학기 국내대학 학점교류 수학안내 만료,0,국내 대학 학점 교류 수학 안내
152,    학년도  학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내 만료 ,0,선택 교양 일몰 교과목 수강 지정 목록 신청 안내
153,백양로 지하주차장 바닥청소 안내,0,백양로 지하 주차장 바닥 청소 안내
154,한국과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료,0,한국 과학기술원 국내 교환 학점 교류 수학 안내
155,캠퍼스 생활관 입사신청 안내문  학부신입생 음악대학   편입학신입생 대상   sinchon campus  dormitory application guide for department of music freshmen and transfer freshmen students ,0,캠퍼스 생활관 입사 신청 안내문 학부 신입생 음악 대학 편입학 신입생 대상 sinchon campus dormitory application guide department music freshman transfer freshman student
156,제  대 서승환 총장 취임식,0,서승환 총장 취임식
157,제  대 서승환 총장 취임식 취소 안내,0,서승환 총장 취임식 취소 안내
158,    학년도  학기 캠퍼스 생활관 대기자 접수 안내       st semester sinchon campus waiting list application guide  ,0,캠퍼스 생활관 기자 안내 semester sinchon campus wait list application guide
159,      학기 점심나눔 신청 안내 ,0,점심 신청 안내
160,     학년도 편입생 학사안내 연기 안내 만료 ,0,편입 학사 안내 연기 안내
161,전주대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료 ,0,전주대학교 국내 대학 학점 교류 수학 안내
162,광주과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료,0,광주 과학기술원 국내 교환 학점 교류 수학 안내
163, 일정변경       학기 재학생 등록 안내 registration guideline for current students  만료,0,일정 변경 재학생 등록 안내 registration guideline current student
164,    학년도  학부대학 신입생 학사지도 안내 ,0,학부 대학 신입생 학사 지도 안내
165,대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,대학교 국내 교환 학점 교류 수학 안내
166,    학년도  학기 학생건강공제회 가입 및 이용안내 요약 ,0,학생 건강 공제 가입 이용 안내 요약
167,    년  월 졸업 수료 심사 결과 조회 안내 notification of february      graduation   completion approval status ,0,졸업 수료 심사 결과 조회 안내 notification february graduation completion approval status
168,    학년도  학기 진료비공제 학생건강공제회 접수마감 안내,0,진료비 공제 학생 건강 공제 안내
169,    학년도  학기 졸업예정자 복수전공 합격자 발표 만료,0,졸업 예정자 복수 전공 합격자 발표
170,    년  월 졸업 신청 안내 notices for august      graduation application   신청 마감 일자 변경 ,0,졸업 신청 안내 notice august graduation application 신청 일자 변경
171,졸업앨범 미촬영자 앨범비 환불신청 안내 캠 학부생  ,0,졸업앨범 미 촬영 앨범 비 환불 신청 안내 학부생
172,성신여자대학교     학년도  학기 학점교류 수학안내 만료 ,0,성신여자대학교 학점 교류 수학 안내
173, 재조정            학기 외국인 재외국민 신 편 입생 학생증 발급 ,0,조정 외국인 재외국민 신 편 입 학생증 발급
174, 재조정            학기 내국인 신 편 입생 학생증 발급,0,조정 내국인 신 편 입 학생증 발급
175,    학년도  학기 국내대학 교환학생 타대생  학사안내 만료,0,국내 대학 교환 학생 타대생 학사 안내
176,새학기 교재 및 문구 생활협동조합 온라인몰 이용안내,0,교재 문구 생활협동조합 온라인 이용 안내
177,      학기  글로벌인재대학 신입생 학사지도 자료집,0,글로벌 인재 대학 신입생 학사 지도 자료집
178,    학년도  학기 학부 강의정보 공유 설문 결과 조회 안내 만료,0,학부 강의 정보 공유 설문 결과 조회 안내
179,    년도 육군 학군사관후보생 예비후보생        기 모집안내,0,육군 학군 사관후보생 예비 후보 기 모집 안내
180,    학번 rc 사회참여 se  교과 졸업요건 면제 안내 만료,0,학번 rc 사회 참여 se 교과 졸업 요건 면제 안내
181,한남대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,한남대학교 국내 대학 학점 교류 수학 안내
182,    년  월 졸업신청 안내 notices for august      graduation application  학사학위수료자 대상  for student in the state of  completion of bachelor s degree  ,0,졸업 신청 안내 notice august graduation application 학사 학위 수료 대상 student state completion bachelor s degree
183,    학년도  학기 국제캠퍼스 기숙사 송도학사  입사 일정 재연기,0,국제 캠퍼스 기숙사 송도 학사 입사 일정 연기
184,    학년도  학기 학부 수강변경 추가 실시 안내 만료 ,0,학부 수강 변경 추가 실시 안내
185,    학년도  학기 학부 수강인원 미달 최종폐강 교과목 안내 만료,0,학부 수 강인원 미달 최종 폐강 교과목 안내
186,    년  월 조기졸업 신청 안내 early graduation application period for      august graduation ,0,조기 졸업 신청 안내 early graduation application period august graduation
187, 시설처 난방중지 안내,0,시설 처 난방 중지 안내
188, 재조정            학기 신 편 입생 학생증 수령일 추가 변경,0,조정 신 편 입 학생증 수령 추가 변경
189,      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 차 납부 tuition installment payment guideline
190,    학년도  학기 학부 수강과목 철회 안내 만료  국제,0,학부 수강 과목 철회 안내 국제
191, 일정변경 등록금 전액반환 기준일 변경 안내 만료,0,일정 변경 등록금 전액 반환 기준 변경 안내
192,    학년도 여름 계절제 수업 안내  학부    비대면 온라인강의 운영 안내 추가 만료,0,여름 계절제 수업 안내 학부 비대면 온라인 강의 운영 안내 추가
193,      학기 캠퍼스 생활관 입사 추가 연기 안내       st semester  additional changes of move in dates of sinchon campus dormitories,0,캠퍼스 생활관 입사 추가 연기 안내 semester additional change move date sinchon campus dormitory
194,학생 상해보험 제도 안내,0,학생 상해보험 제도 안내
195,    학년도  학기 학부 수강과목 변경 안내  기간 연장  만료,0,학부 수강 과목 변경 안내 기간
196,    학년도 여름 계절제 수강 희망 교과목 수요조사 안내  일정 변경  만료,0,여름 계절제 수강 희망 교과목 수요 조사 안내 일정 변경
197,    학년도  학기 학생건강공제회 추가가입  국제  안내,0,학생 건강 공제 추가 가입 국제 안내
198,    년  월 졸업신청 확인 및 변경 안내 application for changing graduation plan in august      ,0,졸업 신청 확인 변경 안내 application change graduation plan august
199,서울대학교     학년도 여름학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 여름 국내 대학 학점 교류 수학 안내
200,    학년도  학기 캠퍼스내 소속변경 전형 안내,0,캠퍼스 내 소속 변경 전형 안내
201,      학기 분할납부  월 등록일정 안내 만료,0,분할 납부 등록 일정 안내
202,    학년도  학기 일반휴학 가사 질병 의 휴학연한 미산입,0,일반 휴학 가사 질병 휴학 연 미산 입
203,      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 차 납부 tuition installment payment guideline
204,    년도  은퇴교수의 날  행사 연기 안내 만료,0,은퇴 교수 날 행사 연기 안내
205,    년도 육군 학군사관후보생 예비후보생  모집안내,0,육군 학군 사관후보생 예비 후보 모집 안내
206,      학기 캠퍼스 생활관 기선발자 추가 입사 안내       st semester   sinchon campus dormitories additional move in guide limited to the previously selected residents  ,0,캠퍼스 생활관 기 선발자 추가 입사 안내 semester sinchon campus dormitory additional move guide limited previously select resident
207,    학년도  학기 재입학 일반전형 안내 re admission application guidelines   general round for       nd semester ,0,재입학 일반 전형 안내 re admission application guideline general round semester
208,    학년도 교직과정 이수예정자 선발         수          목  만료,0,교직과정 이수 예정자 선발 수 목
209,울산과학기술원     학년도 여름 계절학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 여름 계절 국내 대학 학점 교류 수학 안내
210,    학년도  학기 재입학 특별전형 안내 re admission application guidelines   special round for       nd semester ,0,재입학 특별 전형 안내 re admission application guideline special round semester
211,      학기 외국인 재외국민 신 편입생 학생증 배부 유보     ,0,외국인 재외국민 신 편입 학생증 배부 유보
212,울산대학교     학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,울산대학교 여름 계절 국내 대학 학점 교류 수학 안내
213,전주대학교     학년도 여름 계절학기 국내대학 학점 교류 수학 안내 만료,0,전주대학교 여름 계절 국내 대학 학점 교류 수학 안내
214,      학기 졸업앨범 촬영 일정 안내,0,졸업앨범 촬영 일정 안내
215,영남대학교     학년도 여름 계절학기 국내대학 학점 교류 수학 안내 만료,0,영남대학교 여름 계절 국내 대학 학점 교류 수학 안내
216,    학년도 하절기 냉방실시계획 안내,0,하절기 냉방 실시 계획 안내
217,      학기 내국인 신 편입생 학생증 배부 유보     ,0,내국인 신 편입 학생증 배부 유보
218,    학년도 여름 계절제수업 폐강 과목 안내  차  만료,0,여름 계절제 수업 폐강 과목 안내 차
219,    학년도 여름 계절제수업 국내대학 교환학생 타대생  학사안내,0,여름 계절제 수업 국내 대학 교환 학생 타대생 학사 안내
220,중앙대학교     학년도 여름 계절학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 여름 계절 국내 대학 학점 교류 수학 안내
221,      학기 전공신청 및 전공진입 확인 기간 안내 ,0,전공 신청 전공 진입 확인 기간 안내
222,     학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,여름 계절 국내 대학 학점 교류 수학 안내
223,대학교     학년도 여름 계절학기 국내교환 학점교류 수학안내 만료,0,대학교 여름 계절 국내 교환 학점 교류 수학 안내
224,    년  월 교원자격증 발급 신청         금          목  만료,0,교원 자격증 발급 신청 금 목
225,한국외국어대학교     학년도 여름 계절학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 여름 계절 국내 교환 학점 교류 수학 안내
226,고려대학교     학년도 여름학기 국내교환 학점교류 수학안내 만료,0,고려대학교 여름 국내 교환 학점 교류 수학 안내
227,성신여자대학교     학년도 여름 계절학기 학점교류 수학안내 만료,0,성신여자대학교 여름 계절 학점 교류 수학 안내
228,    학년도  학기 캠퍼스내 복수전공 신청 안내 만료,0,캠퍼스 내 복수 전공 신청 안내
229,    학년도  학기 졸업예정자 복수전공 신청 안내 만료,0,졸업 예정자 복수 전공 신청 안내
230,    학년도  학기 캠퍼스내 연계전공 신청 안내 만료,0,캠퍼스 내 연계 전공 신청 안내
231,    학년도 여름 계절제수업 최종 폐강 과목 안내 만료,0,여름 계절제 수업 최종 폐강 과목 안내
232,    학년도  학기 학부 성적 확인 안내 만료,0,학부 성적 확인 안내
233,    학년도 여름 계절제수업 추가개설 안내,0,여름 계절제 수업 추가 개설 안내
234, 생활관      학년도 여름 계절제 대면수업 수강생 대상 캠퍼스 생활관 무악   학사  입사 신청 안내,0,생활관 여름 계절제 대면 수업 수강생 대상 캠퍼스 생활관 무악 학사 입사 신청 안내
235,    학년도  학기 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,학부 강의 정보 공유 설문 실시 안내
236,       전문 특수대학원 등록금 분할납부 신청안내 tuition installment plan for special   professional grad  만료,0,전문 특수 대학원 등록금 분할 납부 신청 안내 tuition installment plan special professional grad
237,    년  월 졸업신청 최종 변경 안내 last application period for august      graduation  만료,0,졸업 신청 최종 변경 안내 last application period august graduation
238,한남대학교      학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,한남대학교 여름 계절 국내 대학 학점 교류 수학 안내
239,    학년도  학기 학부 수업방식 안내 만료,0,학부 수업 방식 안내
240,       학부 일반대학원 등록금 분할납부 신청안내 tuition installment plan for undergrad   general grad  만료,0,학부 일반 대학원 등록금 분할 납부 신청 안내 tuition installment plan undergrad general grad
241,    학년도 여름 계절제수업 추가 등록안내 ,0,여름 계절제 수업 추가 등록 안내
